"term","all.features","all.features.p.value","tuned.features","tuned.penalty"
"(Intercept)",-0.11965352305979,3.75456856132901e-05,-0.115827327763412,0.00298364724028334
"avg.kas",0.0425640296700845,0.372744132750503,0.0388049350510586,0.00298364724028334
"avg.euc.dist",0.0740141801232864,0.089624804843161,0.0538434043483413,0.00298364724028334
"avg.spearman",0.0333436776950984,0.305109677437509,0.0236324701379807,0.00298364724028334
"top.sg.euc.dist",0.0696372586115781,0.102221540889553,0.0554019596581354,0.00298364724028334
"top.sg.cosine.sim",-0.0499928249779632,0.128924689471245,-0.0340267415326463,0.00298364724028334
"kernel.count",0.0928722846384339,0.0231457588507683,0.074433668331821,0.00298364724028334
"top.kas",0.00843555907066958,0.864018831290901,0.00411818127645134,0.00298364724028334
"CDR3.similarity",0.132861717093314,4.91616535374857e-06,0.123139484186807,0.00298364724028334
"full.similarity",0.355818238971915,2.10999298631405e-21,0.347182393843526,0.00298364724028334
