"",".metric","combined.estimate","structure.estimate","sequence.estimate"
"1","accuracy",0.638958594730238,0.630698452530322,0.645232120451694
"2","kap",0.0852110548203707,0.0637544093279862,0.0821447275662294
"3","sens",0.466954022988506,0.4375,0.448994252873563
"4","spec",0.668257464512971,0.663607440039158,0.6786588350465
"5","precision",0.193394822969354,0.181357951161406,0.192248538911104
"6","recall",0.466954022988506,0.4375,0.448994252873563
"7","bal_accuracy",0.567605743750738,0.550553720019579,0.563826543960032
"8","f_meas",0.219061741709356,0.20541014570966,0.217074187274243
"9","roc_auc",0.602201113558492,0.57831778402282,0.598329169972038
"10","mn_log_loss",0.662564789993305,0.676358832261637,0.662895936170572
